Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
180,4,"Monopole, C6, r2_acc, Polar_acc",0.9404,0.8384,0.1021,3.8247,0.9297,195.31,218.62,0.9526,2.4826,Scaffold_BX-6,429
13,2,"Monopole, C6",0.9404,0.8384,0.1021,3.8247,0.9318,191.31,209.96,0.9526,2.4826,Scaffold_BX-6,430
65,3,"Monopole, C6, r2_acc",0.9404,0.8384,0.1021,3.8247,0.9308,193.31,214.29,0.9526,2.4826,Scaffold_BX-6,431
67,3,"Monopole, C6, Polar_acc",0.9404,0.8384,0.1021,3.8247,0.9308,193.31,214.29,0.9526,2.4826,Scaffold_BX-6,432
311,5,"Monopole, Q_2, C6, r2, r2_acc",0.9593,0.8374,0.1219,4.3069,0.9473,174.23,199.87,0.9606,2.2624,"Monopole, C6, r2, Scaffold_Benzene",433
433,6,"Monopole, Q_2, C6, r2, r2_acc, Polar_acc",0.9593,0.8374,0.1219,4.3069,0.9465,176.23,204.2,0.9606,2.2624,"Monopole, C6, r2, Scaffold_Benzene",434
313,5,"Monopole, Q_2, C6, r2, Polar_acc",0.9593,0.8374,0.1219,4.3069,0.9473,174.23,199.87,0.9606,2.2624,"Monopole, C6, r2, Scaffold_Benzene",435
166,4,"Monopole, Q_2, C6, r2",0.9593,0.8374,0.1219,4.3069,0.9481,172.23,195.53,0.9606,2.2624,"Monopole, C6, r2, Scaffold_Benzene",436
31,2,"Q_2, C6",0.9264,0.834,0.0925,4.2976,0.9143,208.73,227.37,0.9045,3.5221,—,437
111,3,"Q_2, C6, r2_acc",0.9264,0.834,0.0925,4.2976,0.913,210.73,231.7,0.9045,3.5221,—,438
113,3,"Q_2, C6, Polar_acc",0.9264,0.834,0.0925,4.2976,0.913,210.73,231.7,0.9045,3.5221,—,439
245,4,"Q_2, C6, r2_acc, Polar_acc",0.9264,0.834,0.0925,4.2976,0.9116,212.73,236.03,0.9045,3.5221,—,440
301,5,"Monopole, Q_0, C6, r2, r2_acc",0.9577,0.8332,0.1245,4.1516,0.9465,175.36,200.99,0.9556,2.4034,"Monopole, C6, r2, Scaffold_BX-6",441
303,5,"Monopole, Q_0, C6, r2, Polar_acc",0.9577,0.8332,0.1245,4.1516,0.9465,175.36,200.99,0.9556,2.4034,"Monopole, C6, r2, Scaffold_BX-6",442
428,6,"Monopole, Q_0, C6, r2, r2_acc, Polar_acc",0.9577,0.8332,0.1245,4.1516,0.9457,177.36,205.32,0.9556,2.4034,"Monopole, C6, r2, Scaffold_BX-6",443
156,4,"Monopole, Q_0, C6, r2",0.9577,0.8332,0.1245,4.1516,0.9474,173.36,196.66,0.9556,2.4034,"Monopole, C6, r2, Scaffold_BX-6",444
86,3,"Dipole_1, C6, r2_acc",0.9151,0.8127,0.1024,4.1975,0.9028,219.11,240.09,0.8466,4.4643,Scaffold_BX-6,445
215,4,"Dipole_1, C6, r2_acc, Polar_acc",0.9151,0.8127,0.1024,4.1975,0.9013,221.11,244.42,0.8466,4.4643,Scaffold_BX-6,446
20,2,"Dipole_1, C6",0.9151,0.8127,0.1024,4.1975,0.9043,217.11,235.76,0.8466,4.4643,Scaffold_BX-6,447
88,3,"Dipole_1, C6, Polar_acc",0.9151,0.8127,0.1024,4.1975,0.9028,219.11,240.09,0.8466,4.4643,Scaffold_BX-6,448
324,5,"Monopole, C6, r2_acc, Polarizability, Polar_acc",0.9423,0.8107,0.1316,4.1764,0.9287,197.19,222.83,0.9566,2.3762,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",449
66,3,"Monopole, C6, Polarizability",0.9423,0.8107,0.1316,4.1764,0.9309,193.19,214.16,0.9566,2.3762,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",450
181,4,"Monopole, C6, Polarizability, Polar_acc",0.9423,0.8107,0.1316,4.1764,0.9298,195.19,218.5,0.9566,2.3762,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",451
179,4,"Monopole, C6, r2_acc, Polarizability",0.9423,0.8107,0.1316,4.1764,0.9298,195.19,218.5,0.9566,2.3762,"C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",452
254,4,"C6, r2_acc, Polarizability, Polar_acc",0.9346,0.8039,0.1307,4.2629,0.9211,204.1,227.41,0.9255,3.1112,Scaffold_BX-6,453
38,2,"C6, Polarizability",0.9346,0.8039,0.1307,4.2629,0.9235,200.1,218.75,0.9255,3.1112,Scaffold_BX-6,454
123,3,"C6, r2_acc, Polarizability",0.9346,0.8039,0.1307,4.2629,0.9223,202.1,223.08,0.9255,3.1112,Scaffold_BX-6,455
125,3,"C6, Polarizability, Polar_acc",0.9346,0.8039,0.1307,4.2629,0.9223,202.1,223.08,0.9255,3.1112,Scaffold_BX-6,456
253,4,"C6, r2, Polarizability, Polar_acc",0.9348,0.8021,0.1326,4.2795,0.9212,204.0,227.3,0.9355,2.8958,"r2, Scaffold_BX-6",457
121,3,"C6, r2, Polarizability",0.9348,0.8021,0.1326,4.2795,0.9224,202.0,222.97,0.9355,2.8958,"r2, Scaffold_BX-6",458
251,4,"C6, r2, r2_acc, Polarizability",0.9348,0.8021,0.1326,4.2795,0.9212,204.0,227.3,0.9355,2.8958,"r2, Scaffold_BX-6",459
381,5,"C6, r2, r2_acc, Polarizability, Polar_acc",0.9348,0.8021,0.1326,4.2795,0.92,206.0,231.63,0.9355,2.8958,"r2, Scaffold_BX-6",460
120,3,"C6, r2, r2_acc",0.9326,0.7973,0.1353,4.2992,0.9202,204.11,225.08,0.9571,2.3623,"Scaffold_BX-6, Scaffold_Benzene",461
252,4,"C6, r2, r2_acc, Polar_acc",0.9326,0.7973,0.1353,4.2992,0.919,206.11,229.41,0.9571,2.3623,"Scaffold_BX-6, Scaffold_Benzene",462
36,2,"C6, r2",0.9326,0.7973,0.1353,4.2992,0.9214,202.11,220.75,0.9571,2.3623,"Scaffold_BX-6, Scaffold_Benzene",463
122,3,"C6, r2, Polar_acc",0.9326,0.7973,0.1353,4.2992,0.9202,204.11,225.08,0.9571,2.3623,"Scaffold_BX-6, Scaffold_Benzene",464
92,3,"Dipole_1, r2_acc, Polarizability",0.906,0.7849,0.1212,4.4562,0.892,227.11,248.09,0.8603,4.2615,Scaffold_BX-6,465
220,4,"Dipole_1, r2_acc, Polarizability, Polar_acc",0.906,0.7849,0.1212,4.4562,0.8904,229.11,252.42,0.8603,4.2615,Scaffold_BX-6,466
94,3,"Dipole_1, Polarizability, Polar_acc",0.906,0.7849,0.1212,4.4562,0.892,227.11,248.09,0.8603,4.2615,Scaffold_BX-6,467
23,2,"Dipole_1, Polarizability",0.906,0.7849,0.1212,4.4562,0.8936,225.11,243.76,0.8603,4.2615,Scaffold_BX-6,468
41,2,"r2, Polarizability",0.926,0.7835,0.1425,4.4284,0.9144,208.62,227.27,0.9418,2.7496,Scaffold_BX-6,469
128,3,"r2, Polarizability, Polar_acc",0.926,0.7835,0.1425,4.4284,0.9131,210.62,231.6,0.9418,2.7496,Scaffold_BX-6,470
255,4,"r2, r2_acc, Polarizability, Polar_acc",0.926,0.7835,0.1425,4.4284,0.9117,212.62,235.93,0.9418,2.7496,Scaffold_BX-6,471
126,3,"r2, r2_acc, Polarizability",0.926,0.7835,0.1425,4.4284,0.9131,210.62,231.6,0.9418,2.7496,Scaffold_BX-6,472
176,4,"Monopole, C6, r2, r2_acc",0.9466,0.7804,0.1662,4.6034,0.9335,191.1,214.41,0.9272,3.0757,"Monopole, C6, r2, Scaffold_BX-6",473
178,4,"Monopole, C6, r2, Polar_acc",0.9466,0.7804,0.1662,4.6034,0.9335,191.1,214.41,0.9272,3.0757,"Monopole, C6, r2, Scaffold_BX-6",474
64,3,"Monopole, C6, r2",0.9466,0.7804,0.1662,4.6034,0.9345,189.1,210.08,0.9272,3.0757,"Monopole, C6, r2, Scaffold_BX-6",475
322,5,"Monopole, C6, r2, r2_acc, Polar_acc",0.9466,0.7804,0.1662,4.6034,0.9325,193.1,218.74,0.9272,3.0757,"Monopole, C6, r2, Scaffold_BX-6",476
89,3,"Dipole_1, r2, r2_acc",0.8983,0.7561,0.1422,4.7187,0.8825,233.57,254.54,0.8726,4.0684,Scaffold_BX-6,477
21,2,"Dipole_1, r2",0.8983,0.7561,0.1422,4.7187,0.8842,231.57,250.21,0.8726,4.0684,Scaffold_BX-6,478
