Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
425,6,"Monopole, Q_0, Q_2, r2, Polarizability, Polar_acc",0.9542,0.8627,0.0916,3.4614,0.9432,170.31,198.28,0.9464,2.4542,"Monopole, r2, Polarizability, Scaffold_BX-6, Scaffold_Benzene",228
153,4,"Monopole, Q_0, Q_2, r2_acc",0.947,0.8625,0.0845,3.4758,0.9364,177.27,200.57,0.9354,2.6925,"Scaffold_BX-6, Scaffold_Benzene",229
53,3,"Monopole, Q_0, Q_2",0.947,0.8625,0.0845,3.4758,0.9373,175.27,196.24,0.9354,2.6925,"Scaffold_BX-6, Scaffold_Benzene",230
299,5,"Monopole, Q_0, Q_2, r2_acc, Polar_acc",0.947,0.8625,0.0845,3.4758,0.9354,179.27,204.9,0.9354,2.6925,"Scaffold_BX-6, Scaffold_Benzene",231
155,4,"Monopole, Q_0, Q_2, Polar_acc",0.947,0.8625,0.0845,3.4758,0.9364,177.27,200.57,0.9354,2.6925,"Scaffold_BX-6, Scaffold_Benzene",232
90,3,"Dipole_1, r2, Polarizability",0.9539,0.8606,0.0932,3.3465,0.9446,165.88,186.86,0.9704,1.8237,Scaffold_BX-6,233
219,4,"Dipole_1, r2, Polarizability, Polar_acc",0.9539,0.8606,0.0932,3.3465,0.9438,167.88,191.19,0.9704,1.8237,Scaffold_BX-6,234
217,4,"Dipole_1, r2, r2_acc, Polarizability",0.9539,0.8606,0.0932,3.3465,0.9438,167.88,191.19,0.9704,1.8237,Scaffold_BX-6,235
360,5,"Dipole_1, r2, r2_acc, Polarizability, Polar_acc",0.9539,0.8606,0.0932,3.3465,0.9429,169.88,195.52,0.9704,1.8237,Scaffold_BX-6,236
47,3,"Monopole, Dipole_1, Q_2",0.9444,0.8593,0.0851,3.6442,0.9334,179.84,200.81,0.9221,2.9573,—,237
140,4,"Monopole, Dipole_1, Q_2, Polar_acc",0.9444,0.8593,0.0851,3.6442,0.9324,181.84,205.15,0.9221,2.9573,—,238
138,4,"Monopole, Dipole_1, Q_2, r2_acc",0.9444,0.8593,0.0851,3.6442,0.9324,181.84,205.15,0.9221,2.9573,—,239
279,5,"Monopole, Dipole_1, Q_2, r2_acc, Polar_acc",0.9444,0.8593,0.0851,3.6442,0.9314,183.84,209.48,0.9221,2.9573,—,240
83,3,"Dipole_1, Q_2, Polarizability",0.9409,0.859,0.0819,3.5944,0.9303,183.34,204.31,0.8815,3.6478,Scaffold_Pyrimidine,241
208,4,"Dipole_1, Q_2, r2_acc, Polarizability",0.9409,0.859,0.0819,3.5944,0.9292,185.34,208.64,0.8815,3.6478,Scaffold_Pyrimidine,242
355,5,"Dipole_1, Q_2, r2_acc, Polarizability, Polar_acc",0.9409,0.859,0.0819,3.5944,0.9281,187.34,212.98,0.8815,3.6478,Scaffold_Pyrimidine,243
210,4,"Dipole_1, Q_2, Polarizability, Polar_acc",0.9409,0.859,0.0819,3.5944,0.9292,185.34,208.64,0.8815,3.6478,Scaffold_Pyrimidine,244
436,6,"Monopole, Q_2, r2, r2_acc, Polarizability, Polar_acc",0.9528,0.8576,0.0952,3.5991,0.9413,172.75,200.72,0.9462,2.4583,"r2, Polarizability, Scaffold_Benzene",245
171,4,"Monopole, Q_2, r2, Polarizability",0.9528,0.8576,0.0952,3.5991,0.9431,168.75,192.06,0.9462,2.4583,"r2, Polarizability, Scaffold_Benzene",246
162,4,"Monopole, Q_0, r2, Polar_acc",0.9492,0.8576,0.0916,3.3818,0.939,174.0,197.31,0.9343,2.7148,Scaffold_BX-6,247
55,3,"Monopole, Q_0, r2",0.9492,0.8576,0.0916,3.3818,0.94,172.0,192.98,0.9343,2.7148,Scaffold_BX-6,248
160,4,"Monopole, Q_0, r2, r2_acc",0.9492,0.8576,0.0916,3.3818,0.939,174.0,197.31,0.9343,2.7148,Scaffold_BX-6,249
319,5,"Monopole, Q_2, r2, Polarizability, Polar_acc",0.9528,0.8576,0.0952,3.5991,0.9422,170.75,196.39,0.9462,2.4583,"r2, Polarizability, Scaffold_Benzene",250
317,5,"Monopole, Q_2, r2, r2_acc, Polarizability",0.9528,0.8576,0.0952,3.5991,0.9422,170.75,196.39,0.9462,2.4583,"r2, Polarizability, Scaffold_Benzene",251
308,5,"Monopole, Q_0, r2, r2_acc, Polar_acc",0.9492,0.8576,0.0916,3.3818,0.9381,176.0,201.64,0.9343,2.7148,Scaffold_BX-6,252
