Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
503,8,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polar_acc","Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8275,0.7376,0.0899,0.0444,0.7708,-445.97,-411.21,0.318,0.1816,"Q_0, Q_2, C6, Scaffold_BX-6, Scaffold_Benzene",95
466,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc","Monopole, Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Scaffold_Factor",0.8275,0.7376,0.0899,0.0444,0.7747,-447.97,-415.52,0.318,0.1816,"Q_0, Q_2, C6, Scaffold_BX-6, Scaffold_Benzene",96
159,4,"Monopole, Q_0, C6, Polar_acc","Monopole, Q_0, C6, Polar_acc, Scaffold_Factor",0.8174,0.7369,0.0806,0.0445,0.7737,-450.0,-424.51,0.3119,0.1825,Scaffold_BX-6,97
54,3,"Monopole, Q_0, C6","Monopole, Q_0, C6, Scaffold_Factor",0.8174,0.7369,0.0806,0.0445,0.7773,-452.0,-428.83,0.3119,0.1825,Scaffold_BX-6,98
305,5,"Monopole, Q_0, C6, r2_acc, Polar_acc","Monopole, Q_0, C6, r2_acc, Polar_acc, Scaffold_Factor",0.8174,0.7369,0.0806,0.0445,0.7701,-448.0,-420.19,0.3119,0.1825,Scaffold_BX-6,99
157,4,"Monopole, Q_0, C6, r2_acc","Monopole, Q_0, C6, r2_acc, Scaffold_Factor",0.8174,0.7369,0.0806,0.0445,0.7737,-450.0,-424.51,0.3119,0.1825,Scaffold_BX-6,100
59,3,"Monopole, Q_2, C6","Monopole, Q_2, C6, Scaffold_Factor",0.8169,0.7361,0.0809,0.0443,0.7768,-451.85,-428.67,0.3285,0.1802,"Scaffold_BX-6, Scaffold_Benzene",101
241,4,"Q_2, C6, r2, r2_acc","Q_2, C6, r2, r2_acc, Scaffold_Factor",0.8172,0.7361,0.0811,0.0441,0.7744,-450.22,-424.73,0.3361,0.1792,"Scaffold_BX-6, Scaffold_Benzene",102
243,4,"Q_2, C6, r2, Polar_acc","Q_2, C6, r2, Polar_acc, Scaffold_Factor",0.8172,0.7361,0.0811,0.0441,0.7744,-450.22,-424.73,0.3361,0.1792,"Scaffold_BX-6, Scaffold_Benzene",103
169,4,"Monopole, Q_2, C6, Polar_acc","Monopole, Q_2, C6, Polar_acc, Scaffold_Factor",0.8169,0.7361,0.0809,0.0443,0.7733,-449.85,-424.35,0.3285,0.1802,"Scaffold_BX-6, Scaffold_Benzene",104
315,5,"Monopole, Q_2, C6, r2_acc, Polar_acc","Monopole, Q_2, C6, r2_acc, Polar_acc, Scaffold_Factor",0.8169,0.7361,0.0809,0.0443,0.7696,-447.85,-420.04,0.3285,0.1802,"Scaffold_BX-6, Scaffold_Benzene",105
110,3,"Q_2, C6, r2","Q_2, C6, r2, Scaffold_Factor",0.8172,0.7361,0.0811,0.0441,0.7779,-452.22,-429.04,0.3361,0.1792,"Scaffold_BX-6, Scaffold_Benzene",106
167,4,"Monopole, Q_2, C6, r2_acc","Monopole, Q_2, C6, r2_acc, Scaffold_Factor",0.8169,0.7361,0.0809,0.0443,0.7733,-449.85,-424.35,0.3285,0.1802,"Scaffold_BX-6, Scaffold_Benzene",107
377,5,"Q_2, C6, r2, r2_acc, Polar_acc","Q_2, C6, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8172,0.7361,0.0811,0.0441,0.7707,-448.22,-420.41,0.3361,0.1792,"Scaffold_BX-6, Scaffold_Benzene",108
256,5,"Monopole, Dipole_1, Q_0, Q_2, C6","Monopole, Dipole_1, Q_0, Q_2, C6, Scaffold_Factor",0.8263,0.736,0.0903,0.0443,0.7808,-451.59,-423.78,0.3237,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",109
385,6,"Monopole, Dipole_1, Q_0, Q_2, C6, Polar_acc","Monopole, Dipole_1, Q_0, Q_2, C6, Polar_acc, Scaffold_Factor",0.8263,0.736,0.0903,0.0443,0.7772,-449.59,-419.46,0.3237,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",110
383,6,"Monopole, Dipole_1, Q_0, Q_2, C6, r2_acc","Monopole, Dipole_1, Q_0, Q_2, C6, r2_acc, Scaffold_Factor",0.8263,0.736,0.0903,0.0443,0.7772,-449.59,-419.46,0.3237,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",111
470,7,"Monopole, Dipole_1, Q_0, Q_2, C6, r2_acc, Polar_acc","Monopole, Dipole_1, Q_0, Q_2, C6, r2_acc, Polar_acc, Scaffold_Factor",0.8263,0.736,0.0903,0.0443,0.7735,-447.59,-415.15,0.3237,0.1809,"Q_0, Q_2, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",112
282,5,"Monopole, Dipole_1, C6, r2, Polarizability","Monopole, Dipole_1, C6, r2, Polarizability, Scaffold_Factor",0.8261,0.7358,0.0904,0.0447,0.7803,-451.4,-423.59,0.3242,0.1808,"C6, r2, Polarizability, Scaffold_BX-6",113
412,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability","Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.8261,0.7358,0.0904,0.0447,0.7767,-449.4,-419.28,0.3242,0.1808,"C6, r2, Polarizability, Scaffold_BX-6",114
414,6,"Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc","Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.8261,0.7358,0.0904,0.0447,0.7767,-449.4,-419.28,0.3242,0.1808,"C6, r2, Polarizability, Scaffold_BX-6",115
486,7,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc","Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8261,0.7358,0.0904,0.0447,0.773,-447.4,-414.96,0.3242,0.1808,"C6, r2, Polarizability, Scaffold_BX-6",116
