Model_ID,N_features,Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
115,3,"Q_2, r2, Polarizability",0.9653,0.9331,0.0322,0.1295,0.9595,-320.85,-299.88,0.9854,0.0641,Scaffold_BX-6,191
380,5,"Q_2, r2, r2_acc, Polarizability, Polar_acc",0.9653,0.9331,0.0322,0.1295,0.9582,-316.85,-291.22,0.9854,0.0641,Scaffold_BX-6,192
314,5,"Monopole, Q_2, C6, r2_acc, Polarizability",0.9665,0.9324,0.0341,0.1282,0.9596,-319.35,-293.71,0.9835,0.0682,"C6, Polarizability, Scaffold_BX-6",193
435,6,"Monopole, Q_2, C6, r2_acc, Polarizability, Polar_acc",0.9665,0.9324,0.0341,0.1282,0.9589,-317.35,-289.38,0.9835,0.0682,"C6, Polarizability, Scaffold_BX-6",194
316,5,"Monopole, Q_2, C6, Polarizability, Polar_acc",0.9665,0.9324,0.0341,0.1282,0.9596,-319.35,-293.71,0.9835,0.0682,"C6, Polarizability, Scaffold_BX-6",195
168,4,"Monopole, Q_2, C6, Polarizability",0.9665,0.9324,0.0341,0.1282,0.9602,-321.35,-298.04,0.9835,0.0682,"C6, Polarizability, Scaffold_BX-6",196
440,6,"Dipole_1, Q_0, Q_2, C6, r2, Polar_acc",0.9712,0.9323,0.039,0.1192,0.965,-329.54,-301.57,0.9802,0.0745,"Q_0, Scaffold_BX-6, Scaffold_Benzene",197
438,6,"Dipole_1, Q_0, Q_2, C6, r2, r2_acc",0.9712,0.9323,0.039,0.1192,0.965,-329.54,-301.57,0.9802,0.0745,"Q_0, Scaffold_BX-6, Scaffold_Benzene",198
495,7,"Dipole_1, Q_0, Q_2, C6, r2, r2_acc, Polar_acc",0.9712,0.9323,0.039,0.1192,0.9645,-327.54,-297.24,0.9802,0.0745,"Q_0, Scaffold_BX-6, Scaffold_Benzene",199
447,6,"Dipole_1, Q_0, Q_2, r2_acc, Polarizability, Polar_acc",0.9666,0.9323,0.0343,0.1339,0.9592,-317.75,-289.78,0.9745,0.0845,"Q_2, Scaffold_BX-6, Scaffold_Benzene",200
333,5,"Dipole_1, Q_0, Q_2, r2_acc, Polarizability",0.9666,0.9323,0.0343,0.1339,0.9598,-319.75,-294.11,0.9745,0.0845,"Q_2, Scaffold_BX-6, Scaffold_Benzene",201
299,5,"Monopole, Q_0, Q_2, r2_acc, Polar_acc",0.964,0.9323,0.0317,0.1319,0.9567,-314.1,-288.46,0.9807,0.0737,"Q_0, Scaffold_BX-6",202
326,5,"Dipole_1, Q_0, Q_2, C6, r2",0.9712,0.9323,0.039,0.1192,0.9656,-331.54,-305.9,0.9802,0.0745,"Q_0, Scaffold_BX-6, Scaffold_Benzene",203
335,5,"Dipole_1, Q_0, Q_2, Polarizability, Polar_acc",0.9666,0.9323,0.0343,0.1339,0.9598,-319.75,-294.11,0.9745,0.0845,"Q_2, Scaffold_BX-6, Scaffold_Benzene",204
153,4,"Monopole, Q_0, Q_2, r2_acc",0.964,0.9323,0.0317,0.1319,0.9574,-316.1,-292.79,0.9807,0.0737,"Q_0, Scaffold_BX-6",205
155,4,"Monopole, Q_0, Q_2, Polar_acc",0.964,0.9323,0.0317,0.1319,0.9574,-316.1,-292.79,0.9807,0.0737,"Q_0, Scaffold_BX-6",206
189,4,"Dipole_1, Q_0, Q_2, Polarizability",0.9666,0.9323,0.0343,0.1339,0.9604,-321.75,-298.44,0.9745,0.0845,"Q_2, Scaffold_BX-6, Scaffold_Benzene",207
53,3,"Monopole, Q_0, Q_2",0.964,0.9323,0.0317,0.1319,0.958,-318.1,-297.12,0.9807,0.0737,"Q_0, Scaffold_BX-6",208
243,4,"Q_2, C6, r2, Polar_acc",0.9658,0.9322,0.0336,0.1288,0.9595,-319.99,-296.68,0.9818,0.0714,Scaffold_BX-6,209
463,6,"Q_0, Q_2, r2, r2_acc, Polarizability, Polar_acc",0.9658,0.9322,0.0336,0.1286,0.9582,-316.03,-288.06,0.9844,0.0662,"Q_0, Scaffold_BX-6",210
334,5,"Dipole_1, Q_0, Q_2, r2_acc, Polar_acc",0.9656,0.9322,0.0334,0.1322,0.9586,-317.46,-291.82,0.9746,0.0844,"Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",211
74,3,"Dipole_1, Q_0, Q_2",0.9656,0.9322,0.0334,0.1322,0.9598,-321.46,-300.49,0.9746,0.0844,"Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",212
226,4,"Q_0, Q_2, r2, Polarizability",0.9658,0.9322,0.0336,0.1286,0.9595,-320.03,-296.72,0.9844,0.0662,"Q_0, Scaffold_BX-6",213
377,5,"Q_2, C6, r2, r2_acc, Polar_acc",0.9658,0.9322,0.0336,0.1288,0.9589,-317.99,-292.35,0.9818,0.0714,Scaffold_BX-6,214
369,5,"Q_0, Q_2, r2, Polarizability, Polar_acc",0.9658,0.9322,0.0336,0.1286,0.9589,-318.03,-292.39,0.9844,0.0662,"Q_0, Scaffold_BX-6",215
367,5,"Q_0, Q_2, r2, r2_acc, Polarizability",0.9658,0.9322,0.0336,0.1286,0.9589,-318.03,-292.39,0.9844,0.0662,"Q_0, Scaffold_BX-6",216
241,4,"Q_2, C6, r2, r2_acc",0.9658,0.9322,0.0336,0.1288,0.9595,-319.99,-296.68,0.9818,0.0714,Scaffold_BX-6,217
110,3,"Q_2, C6, r2",0.9658,0.9322,0.0336,0.1288,0.9601,-321.99,-301.01,0.9818,0.0714,Scaffold_BX-6,218
188,4,"Dipole_1, Q_0, Q_2, r2_acc",0.9656,0.9322,0.0334,0.1322,0.9592,-319.46,-296.15,0.9746,0.0844,"Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",219
190,4,"Dipole_1, Q_0, Q_2, Polar_acc",0.9656,0.9322,0.0334,0.1322,0.9592,-319.46,-296.15,0.9746,0.0844,"Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",220
174,4,"Monopole, Q_2, r2_acc, Polar_acc",0.9636,0.9319,0.0317,0.1315,0.9569,-315.2,-291.89,0.9803,0.0743,Scaffold_BX-6,221
63,3,"Monopole, Q_2, Polar_acc",0.9636,0.9319,0.0317,0.1315,0.9575,-317.2,-296.22,0.9803,0.0743,Scaffold_BX-6,222
61,3,"Monopole, Q_2, r2_acc",0.9636,0.9319,0.0317,0.1315,0.9575,-317.2,-296.22,0.9803,0.0743,Scaffold_BX-6,223
12,2,"Monopole, Q_2",0.9636,0.9319,0.0317,0.1315,0.9581,-319.2,-300.56,0.9803,0.0743,Scaffold_BX-6,224
212,4,"Dipole_1, C6, r2, Polarizability",0.9654,0.9315,0.0339,0.1149,0.9599,-320.73,-297.42,0.9839,0.0672,Scaffold_BX-6,225
358,5,"Dipole_1, C6, r2, Polarizability, Polar_acc",0.9654,0.9315,0.0339,0.1149,0.9593,-318.73,-293.09,0.9839,0.0672,Scaffold_BX-6,226
458,6,"Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc",0.9654,0.9315,0.0339,0.1149,0.9586,-316.73,-288.76,0.9839,0.0672,Scaffold_BX-6,227
356,5,"Dipole_1, C6, r2, r2_acc, Polarizability",0.9654,0.9315,0.0339,0.1149,0.9593,-318.73,-293.09,0.9839,0.0672,Scaffold_BX-6,228
76,3,"Dipole_1, Q_0, r2",0.9636,0.931,0.0326,0.1338,0.9573,-316.83,-295.85,0.9787,0.0774,Scaffold_BX-6,229
343,5,"Dipole_1, Q_0, r2, r2_acc, Polar_acc",0.9636,0.931,0.0326,0.1338,0.956,-312.83,-287.19,0.9787,0.0774,Scaffold_BX-6,230
246,4,"Q_2, C6, Polarizability, Polar_acc",0.9653,0.931,0.0344,0.1287,0.959,-319.12,-295.81,0.9669,0.0964,Scaffold_BX-6,231
112,3,"Q_2, C6, Polarizability",0.9653,0.931,0.0344,0.1287,0.9596,-321.12,-300.14,0.9669,0.0964,Scaffold_BX-6,232
244,4,"Q_2, C6, r2_acc, Polarizability",0.9653,0.931,0.0344,0.1287,0.959,-319.12,-295.81,0.9669,0.0964,Scaffold_BX-6,233
195,4,"Dipole_1, Q_0, r2, r2_acc",0.9636,0.931,0.0326,0.1338,0.9566,-314.83,-291.52,0.9787,0.0774,Scaffold_BX-6,234
197,4,"Dipole_1, Q_0, r2, Polar_acc",0.9636,0.931,0.0326,0.1338,0.9566,-314.83,-291.52,0.9787,0.0774,Scaffold_BX-6,235
379,5,"Q_2, C6, r2_acc, Polarizability, Polar_acc",0.9653,0.931,0.0344,0.1287,0.9584,-317.12,-291.48,0.9669,0.0964,Scaffold_BX-6,236
219,4,"Dipole_1, r2, Polarizability, Polar_acc",0.9646,0.9309,0.0337,0.1163,0.959,-319.15,-295.84,0.9859,0.063,Scaffold_BX-6,237
90,3,"Dipole_1, r2, Polarizability",0.9646,0.9309,0.0337,0.1163,0.9597,-321.15,-300.17,0.9859,0.063,Scaffold_BX-6,238
217,4,"Dipole_1, r2, r2_acc, Polarizability",0.9646,0.9309,0.0337,0.1163,0.959,-319.15,-295.84,0.9859,0.063,Scaffold_BX-6,239
328,5,"Dipole_1, Q_0, Q_2, C6, Polarizability",0.9697,0.9309,0.0388,0.1264,0.9638,-327.67,-302.03,0.9693,0.0929,"Q_0, C6, Polarizability, Scaffold_BX-6, Scaffold_Benzene",240
