Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
337,5,"Dipole_1, Q_0, C6, r2, Polarizability","Dipole_1, Q_0, C6, r2, Polarizability, Scaffold_Factor",0.6669,0.1896,0.4773,0.6101,0.5117,-75.5,-49.41,0.6363,0.3289,Scaffold_BX-6,320
450,6,"Dipole_1, Q_0, C6, r2, Polarizability, Polar_acc","Dipole_1, Q_0, C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.6669,0.1896,0.4773,0.6101,0.5021,-73.5,-45.23,0.6363,0.3289,Scaffold_BX-6,321
448,6,"Dipole_1, Q_0, C6, r2, r2_acc, Polarizability","Dipole_1, Q_0, C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.6669,0.1896,0.4773,0.6101,0.5021,-73.5,-45.23,0.6363,0.3289,Scaffold_BX-6,322
486,7,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc","Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6659,0.1896,0.4763,0.6121,0.4897,-71.18,-40.74,0.6495,0.3229,"r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",323
499,7,"Dipole_1, Q_0, C6, r2, r2_acc, Polarizability, Polar_acc","Dipole_1, Q_0, C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6669,0.1896,0.4773,0.6101,0.4922,-71.5,-41.06,0.6363,0.3289,Scaffold_BX-6,324
414,6,"Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc","Monopole, Dipole_1, C6, r2, Polarizability, Polar_acc, Scaffold_Factor",0.6659,0.1896,0.4763,0.6121,0.4997,-73.18,-44.91,0.6495,0.3229,"r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",325
412,6,"Monopole, Dipole_1, C6, r2, r2_acc, Polarizability","Monopole, Dipole_1, C6, r2, r2_acc, Polarizability, Scaffold_Factor",0.6659,0.1896,0.4763,0.6121,0.4997,-73.18,-44.91,0.6495,0.3229,"r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",326
282,5,"Monopole, Dipole_1, C6, r2, Polarizability","Monopole, Dipole_1, C6, r2, Polarizability, Scaffold_Factor",0.6659,0.1896,0.4763,0.6121,0.5093,-75.18,-49.09,0.6495,0.3229,"r2, Polarizability, Scaffold_Factor, Scaffold_BX-6, Scaffold_Benzene, Scaffold_Pyrimidine",327
212,4,"Dipole_1, C6, r2, Polarizability","Dipole_1, C6, r2, Polarizability, Scaffold_Factor",0.6544,0.1811,0.4733,0.6131,0.5056,-75.45,-51.53,0.6809,0.3081,"C6, Polarizability, Scaffold_BX-6",328
458,6,"Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc","Dipole_1, C6, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.6544,0.1811,0.4733,0.6131,0.4862,-71.45,-43.18,0.6809,0.3081,"C6, Polarizability, Scaffold_BX-6",329
